concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Identify Problem,,01.01.10 00:00,normal,1,Supervisor
Research Related Work,,01.01.10 00:14,normal,1,Student
Develop Method,,02.01.10 00:00,normal,1,Main Author
Experiment,,02.01.10 00:14,normal,1,Student
Evaluate,,03.01.10 00:00,normal,1,Main Author
Conclude,,03.01.10 00:14,normal,1,Main Author
Submit,,04.01.10 00:00,normal,1,Main Author
Review,,04.01.10 00:14,normal,1,Reviewer
Minor Revision,,05.01.10 00:00,normal,1,Metareviewer
Revise,,05.01.10 00:14,normal,1,Main Author
Submit,,06.01.10 00:00,normal,1,Main Author
Final Decision,,06.01.10 00:14,normal,1,Metareviewer
Identify Problem,,07.01.10 00:00,normal,2,Main Author
Research Related Work,,07.01.10 00:14,normal,2,Student
Develop Method,,08.01.10 00:00,normal,2,Student
Experiment,,08.01.10 00:14,normal,2,Main Author
Evaluate,,09.01.10 00:00,normal,2,Author
Conclude,,09.01.10 00:14,normal,2,Main Author
Submit,,10.01.10 00:00,normal,2,Main Author
Review,,10.01.10 00:14,normal,2,Reviewer
Minor Revision,,11.01.10 00:00,normal,2,Metareviewer
Revise,,11.01.10 00:14,normal,2,Main Author
Submit,,12.01.10 00:00,normal,2,Main Author
Final Decision,,12.01.10 00:14,normal,2,Metareviewer
Identify Problem,,13.01.10 00:00,normal,3,Main Author
Research Related Work,,13.01.10 00:14,normal,3,Student
Develop Method,,14.01.10 00:00,normal,3,Student
Experiment,,14.01.10 00:14,normal,3,Main Author
Evaluate,,15.01.10 00:00,normal,3,Main Author
Conclude,,15.01.10 00:14,normal,3,Main Author
Submit,,16.01.10 00:00,normal,3,Main Author
Review,,16.01.10 00:14,normal,3,Reviewer
Minor Revision,,17.01.10 00:00,normal,3,Metareviewer
Revise,,17.01.10 00:14,normal,3,Main Author
Submit,,18.01.10 00:00,normal,3,Main Author
Final Decision,,18.01.10 00:14,normal,3,Metareviewer
Identify Problem,,19.01.10 00:00,normal,4,Main Author
Research Related Work,,19.01.10 00:14,normal,4,Student
Develop Method,,20.01.10 00:00,normal,4,Student
Experiment,,20.01.10 00:14,normal,4,Main Author
Evaluate,,21.01.10 00:00,normal,4,Main Author
Conclude,,21.01.10 00:14,normal,4,Main Author
Submit,,22.01.10 00:00,normal,4,Main Author
Review,,22.01.10 00:14,normal,4,Reviewer
Minor Revision,,23.01.10 00:00,normal,4,Metareviewer
Revise,,23.01.10 00:14,normal,4,Main Author
Submit,,24.01.10 00:00,normal,4,Main Author
Final Decision,,24.01.10 00:14,normal,4,Metareviewer
Identify Problem,,25.01.10 00:00,normal,5,Main Author
Research Related Work,,25.01.10 00:14,normal,5,Student
Develop Method,,26.01.10 00:00,normal,5,Main Author
Experiment,,26.01.10 00:14,normal,5,Student
Evaluate,,27.01.10 00:00,normal,5,Main Author
Conclude,,27.01.10 00:14,normal,5,Main Author
Submit,,28.01.10 00:00,normal,5,Main Author
Review,,28.01.10 00:14,normal,5,Reviewer
Final Decision,,29.01.10 00:00,normal,5,Metareviewer
Identify Problem,,29.01.10 00:14,Early,6,Main Author
Research Related Work,,30.01.10 00:00,Early,6,Student
Develop Method,,30.01.10 00:14,Early,6,Main Author
Experiment,,31.01.10 00:00,Early,6,Student
Submit,,31.01.10 00:14,Early,6,Main Author
Evaluate,,01.02.10 00:00,Early,6,Main Author
Conclude,,01.02.10 00:14,Early,6,Main Author
Review,,02.02.10 00:00,Early,6,Reviewer
Minor Revision,,02.02.10 00:14,Early,6,Metareviewer
Revise,,03.02.10 00:00,Early,6,Main Author
Submit,,03.02.10 00:14,Early,6,Main Author
Final Decision,,04.02.10 00:00,Early,6,Metareviewer
Identify Problem,,04.02.10 00:14,normal,7,Main Author
Research Related Work,,05.02.10 00:00,normal,7,Student
Develop Method,,05.02.10 00:14,normal,7,Main Author
Experiment,,06.02.10 00:00,normal,7,Main Author
Evaluate,,06.02.10 00:14,normal,7,Main Author
Conclude,,07.02.10 00:00,normal,7,Main Author
Submit,,07.02.10 00:14,normal,7,Main Author
Review,,08.02.10 00:00,normal,7,Reviewer
Minor Revision,,08.02.10 00:14,normal,7,Metareviewer
Revise,,09.02.10 00:00,normal,7,Main Author
Submit,,09.02.10 00:14,normal,7,Main Author
