concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Random activity 47,,01.01.10 00:00,Insert,1,Random user 44
Activity A,,01.01.10 00:01,Insert,1,Micheline
Activity T,,01.01.10 00:02,Insert,1,Steve
Activity AC,,01.01.10 00:04,Insert,1,Ling
Activity AE,,01.01.10 00:05,Insert,1,Amanda
Activity AD,,01.01.10 00:07,Insert,1,Emily
Activity U,,01.01.10 00:08,Insert,1,Junior
Activity B,,01.01.10 00:10,Insert,1,Rossie
Activity A,,01.01.10 00:11,normal,2,Joe
Activity BC,,01.01.10 00:12,normal,2,Micheline
Activity B,,01.01.10 00:14,normal,2,Deloras
Activity A,,01.01.10 00:15,Rework,3,Sharee
Activity BZ,,01.01.10 00:17,Rework,3,Frances
Activity B,,01.01.10 00:18,Rework,3,Steve
Activity A,,01.01.10 00:20,Rework,3,Sharee
Activity BZ,,01.01.10 00:21,Rework,3,Frances
Activity B,,01.01.10 00:23,Rework,3,Steve
Activity A,,01.01.10 00:24,normal,4,Seth
Activity BC,,01.01.10 00:25,normal,4,Micheline
Activity B,,01.01.10 00:27,normal,4,Tiffiny
Activity A,,01.01.10 00:28,Insert,5,Sharee
Random activity 20,,01.01.10 00:30,Insert,5,Random user 30
Activity BZ,,01.01.10 00:31,Insert,5,Issac
Activity B,,01.01.10 00:33,Insert,5,Elisha
Activity A,,01.01.10 00:34,normal,6,Joe
Activity BC,,01.01.10 00:36,normal,6,Micheline
Activity B,,01.01.10 00:37,normal,6,Tiffiny
Activity A,,01.01.10 00:38,normal,7,Carmella
Activity BC,,01.01.10 00:40,normal,7,Micheline
Activity B,,01.01.10 00:41,normal,7,Tiffiny
Random activity 48,,01.01.10 00:43,Insert,8,Random user 34
Activity A,,01.01.10 00:44,Insert,8,Amanda
Activity C,,01.01.10 00:46,Insert,8,Lisa
Activity E,,01.01.10 00:47,Insert,8,Donald
Activity F,,01.01.10 00:48,Insert,8,Keven
Activity D,,01.01.10 00:50,Insert,8,James
Activity S,,01.01.10 00:51,Insert,8,Hoyt
Activity B,,01.01.10 00:53,Insert,8,Tiffiny
Activity A,,01.01.10 00:54,normal,9,Micheline
Activity T,,01.01.10 00:56,normal,9,Steve
Activity AC,,01.01.10 00:57,normal,9,Lucy
Activity AE,,01.01.10 00:59,normal,9,Amanda
Activity AD,,01.01.10 01:00,normal,9,Emily
Activity U,,01.01.10 01:01,normal,9,Hannah
Activity B,,01.01.10 01:03,normal,9,Ronald
Activity A,,01.01.10 01:04,normal,10,Doretta
Activity C,,01.01.10 01:06,normal,10,Seth
Activity L,,01.01.10 01:07,normal,10,Pam
Activity N,,01.01.10 01:09,normal,10,Paul
Activity M,,01.01.10 01:10,normal,10,Jack
Activity D,,01.01.10 01:12,normal,10,Sandra
Activity S,,01.01.10 01:13,normal,10,Gema
Activity B,,01.01.10 01:14,normal,10,Ronald
Activity A,,01.01.10 01:16,normal,11,Amanda
Activity C,,01.01.10 01:17,normal,11,Vickie
Activity L,,01.01.10 01:19,normal,11,Lisa
Activity O,,01.01.10 01:20,normal,11,Johnny
Activity M,,01.01.10 01:22,normal,11,Maryellen
Activity D,,01.01.10 01:23,normal,11,Shandi
Activity S,,01.01.10 01:24,normal,11,Brian
Activity B,,01.01.10 01:26,normal,11,Ronald
Activity A,,01.01.10 01:27,normal,12,Carmella
Activity BC,,01.01.10 01:29,normal,12,Micheline
Activity B,,01.01.10 01:30,normal,12,Tiffiny
Activity A,,01.01.10 01:32,normal,13,Sharee
Activity BZ,,01.01.10 01:33,normal,13,Issac
Activity B,,01.01.10 01:35,normal,13,Steve
Activity A,,01.01.10 01:36,normal,14,Steve
Activity C,,01.01.10 01:37,normal,14,Hoyt
Activity L,,01.01.10 01:39,normal,14,Lisa
Activity O,,01.01.10 01:40,normal,14,Marilyn
Activity M,,01.01.10 01:42,normal,14,Jack
Activity D,,01.01.10 01:43,normal,14,Issac
Activity S,,01.01.10 01:45,normal,14,Ryan
Activity B,,01.01.10 01:46,normal,14,Deloras
Activity BC,,01.01.10 01:48,Early,15,Micheline
Activity A,,01.01.10 01:49,Early,15,Joe
Activity B,,01.01.10 01:50,Early,15,Grayce
Activity A,,01.01.10 01:52,normal,16,Micheline
Activity T,,01.01.10 01:53,normal,16,Grayce
Activity AC,,01.01.10 01:55,normal,16,Michaele
Activity AG,,01.01.10 01:56,normal,16,Charles
Activity AH,,01.01.10 01:58,normal,16,Doretta
Activity AD,,01.01.10 01:59,normal,16,Brant
Activity U,,01.01.10 02:00,normal,16,Hannah
Activity B,,01.01.10 02:02,normal,16,Ronald
Activity A,,01.01.10 02:03,normal,17,Amanda
Activity C,,01.01.10 02:05,normal,17,Della
Activity G,,01.01.10 02:06,normal,17,Clayton
Activity K,,01.01.10 02:08,normal,17,Sandra
Activity H,,01.01.10 02:09,normal,17,Keven
Activity D,,01.01.10 02:11,normal,17,Hassie
Activity S,,01.01.10 02:12,normal,17,Velda
Activity B,,01.01.10 02:13,normal,17,Tiffiny
Activity A,,01.01.10 02:15,normal,18,Steve
Activity C,,01.01.10 02:16,normal,18,Lucy
Activity L,,01.01.10 02:18,normal,18,Pam
Activity N,,01.01.10 02:19,normal,18,Vickie
Activity M,,01.01.10 02:21,normal,18,Maryellen
Activity D,,01.01.10 02:22,normal,18,Issac
Activity S,,01.01.10 02:24,normal,18,Ryan
Activity B,,01.01.10 02:25,normal,18,Deloras
Activity A,,01.01.10 02:26,normal,19,Frances
Activity BD,,01.01.10 02:28,normal,19,Lisa
Activity BP,,01.01.10 02:29,normal,19,Carmella
Activity BE,,01.01.10 02:31,normal,19,Lisa
Activity BQ,,01.01.10 02:32,normal,19,Jamika
Activity BR,,01.01.10 02:34,normal,19,Elisha
Activity BU,,01.01.10 02:35,normal,19,Clayton
Activity BS,,01.01.10 02:36,normal,19,Hoyt
Activity B,,01.01.10 02:38,normal,19,Joe
Activity A,,01.01.10 02:39,normal,20,Joe
Activity BC,,01.01.10 02:41,normal,20,Micheline
Activity B,,01.01.10 02:42,normal,20,Tiffiny
Activity A,,01.01.10 02:44,normal,21,Micheline
Activity T,,01.01.10 02:45,normal,21,Jack
Activity AN,,01.01.10 02:47,normal,21,Brian
Activity AP,,01.01.10 02:48,normal,21,Tiffiny
Activity AO,,01.01.10 02:49,normal,21,Iluminada
Activity U,,01.01.10 02:51,normal,21,Hoyt
Activity B,,01.01.10 02:52,normal,21,Rossie
Activity BC,,01.01.10 02:54,Late,22,Micheline
Activity A,,01.01.10 02:55,Late,22,Joe
Activity B,,01.01.10 02:57,Late,22,Tiffiny
Activity A,,01.01.10 02:58,normal,23,Micheline
Activity T,,01.01.10 03:00,normal,23,Grayce
Activity AC,,01.01.10 03:01,normal,23,Ling
Activity AE,,01.01.10 03:02,normal,23,Amanda
Activity AD,,01.01.10 03:04,normal,23,Howard
Activity U,,01.01.10 03:05,normal,23,Rossie
Activity B,,01.01.10 03:07,normal,23,Joe
Activity A,,01.01.10 03:08,normal,24,Micheline
Activity T,,01.01.10 03:10,normal,24,Jack
Activity AN,,01.01.10 03:11,normal,24,Micheline
Activity AP,,01.01.10 03:12,normal,24,Tiffiny
Activity AO,,01.01.10 03:14,normal,24,Iluminada
Activity U,,01.01.10 03:15,normal,24,Lisa
Activity B,,01.01.10 03:17,normal,24,Lucy
Activity A,,01.01.10 03:18,normal,25,Carmella
Activity BC,,01.01.10 03:20,normal,25,Micheline
Activity B,,01.01.10 03:21,normal,25,Tiffiny
Activity A,,01.01.10 03:23,normal,26,Joe
Activity BC,,01.01.10 03:24,normal,26,Micheline
Activity B,,01.01.10 03:25,normal,26,Tiffiny
Activity A,,01.01.10 03:27,SkipSequence,27,Amanda
Activity C,,01.01.10 03:28,SkipSequence,27,Della
Activity G,,01.01.10 03:30,SkipSequence,27,Alyce
Activity I,,01.01.10 03:31,SkipSequence,27,Lannie
Activity D,,01.01.10 03:33,SkipSequence,27,Hassie
Activity S,,01.01.10 03:34,SkipSequence,27,Velda
Activity B,,01.01.10 03:36,SkipSequence,27,Grayce
Activity A,,01.01.10 03:37,Attribute,28,Brant
Activity BC,,01.01.10 03:38,Attribute,28,Jamika
Activity B,,01.01.10 03:40,Attribute,28,Sherell
Activity A,,01.01.10 03:41,Insert,29,Chan
Activity BD,,01.01.10 03:43,Insert,29,Lisa
Activity BP,,01.01.10 03:44,Insert,29,Carmella
Activity BE,,01.01.10 03:46,Insert,29,Lisa
Random activity 8,,01.01.10 03:47,Insert,29,Random user 22
Activity BQ,,01.01.10 03:48,Insert,29,Jamika
Activity BR,,01.01.10 03:50,Insert,29,Elisha
Random activity 12,,01.01.10 03:51,Insert,29,Random user 52
Activity BX,,01.01.10 03:53,Insert,29,Marilyn
Activity BS,,01.01.10 03:54,Insert,29,Josef
Activity B,,01.01.10 03:56,Insert,29,Amanda
Activity A,,01.01.10 03:57,normal,30,Carmella
Activity BC,,01.01.10 03:59,normal,30,Micheline
Activity B,,01.01.10 04:00,normal,30,Tiffiny
Activity BC,,01.01.10 04:01,Late,31,Micheline
Activity A,,01.01.10 04:03,Late,31,Joe
Activity B,,01.01.10 04:04,Late,31,Tiffiny
Activity A,,01.01.10 04:06,SkipSequence,32,Micheline
Activity T,,01.01.10 04:07,SkipSequence,32,Joe
