concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Activity A,,01.01.10 00:00,Early,1,Velda
Activity AJ,,01.01.10 00:01,Early,1,Donald
Activity AI,,01.01.10 00:02,Early,1,Sharee
Activity AL,,01.01.10 00:04,Early,1,Rossana
Activity AM,,01.01.10 00:05,Early,1,Marilyn
Activity AN,,01.01.10 00:07,Early,1,Vickie
Activity AO,,01.01.10 00:08,Early,1,Jack
Activity B,,01.01.10 00:10,Early,1,Alyce
Activity A,,01.01.10 00:11,normal,2,Micheline
Activity L,,01.01.10 00:12,normal,2,Howard
Activity N,,01.01.10 00:14,normal,2,Issac
Activity M,,01.01.10 00:15,normal,2,Steve
Activity R,,01.01.10 00:17,normal,2,Brant
Activity AC,,01.01.10 00:18,normal,2,Steve
Activity AH,,01.01.10 00:20,normal,2,Howard
Activity AD,,01.01.10 00:21,normal,2,Craig
Activity S,,01.01.10 00:23,normal,2,Lannie
Activity B,,01.01.10 00:24,normal,2,Micheline
Activity A,,01.01.10 00:25,normal,3,Ronald
Activity AI,,01.01.10 00:27,normal,3,Pam
Activity AP,,01.01.10 00:28,normal,3,Chan
Activity AQ,,01.01.10 00:30,normal,3,Jamika
Activity AR,,01.01.10 00:31,normal,3,Jack
Activity AS,,01.01.10 00:33,normal,3,Anna
Activity AJ,,01.01.10 00:34,normal,3,Ling
Activity B,,01.01.10 00:36,normal,3,Brant
Activity A,,01.01.10 00:37,Rework,4,Steve
Activity C,,01.01.10 00:38,Rework,4,Hannah
Activity D,,01.01.10 00:40,Rework,4,Hugo
Activity E,,01.01.10 00:41,Rework,4,Lannie
Activity H,,01.01.10 00:43,Rework,4,James
Activity F,,01.01.10 00:44,Rework,4,Sandra
Activity J,,01.01.10 00:46,Rework,4,Grayce
Activity K,,01.01.10 00:47,Rework,4,Issac
Activity B,,01.01.10 00:48,Rework,4,Alyce
Activity F,,01.01.10 00:50,Rework,4,Sandra
Activity J,,01.01.10 00:51,Rework,4,Grayce
Activity K,,01.01.10 00:53,Rework,4,Issac
Activity A,,01.01.10 00:54,normal,5,Micheline
Activity L,,01.01.10 00:56,normal,5,Howard
Activity N,,01.01.10 00:57,normal,5,Issac
Activity M,,01.01.10 00:59,normal,5,Steve
Activity R,,01.01.10 01:00,normal,5,Amanda
Activity W,,01.01.10 01:01,normal,5,Chan
Activity AB,,01.01.10 01:03,normal,5,Junior
Activity X,,01.01.10 01:04,normal,5,Ryan
