concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Activity A,,01.01.10 00:00,Attribute,1,Charles
Activity C,,01.01.10 00:01,Attribute,1,Roseanne
Activity D,,01.01.10 00:02,Attribute,1,Alpha
Activity E,,01.01.10 00:04,Attribute,1,Brian
Activity G,,01.01.10 00:05,Attribute,1,Sandra
Activity F,,01.01.10 00:07,Attribute,1,Brian
Activity I,,01.01.10 00:08,Attribute,1,Hassie
Activity O,,01.01.10 00:10,Attribute,1,Rossana
Activity P,,01.01.10 00:11,Attribute,1,Wilton
Activity J,,01.01.10 00:12,Attribute,1,Alyce
Activity B,,01.01.10 00:14,Attribute,1,Della
Activity A,,01.01.10 00:15,normal,2,Johnny
Activity C,,01.01.10 00:17,normal,2,Roseanne
Activity D,,01.01.10 00:18,normal,2,Alpha
Activity E,,01.01.10 00:20,normal,2,Josef
Activity H,,01.01.10 00:21,normal,2,Josef
Activity F,,01.01.10 00:23,normal,2,Brian
Activity I,,01.01.10 00:24,normal,2,Ling
Activity O,,01.01.10 00:25,normal,2,Rossana
Activity P,,01.01.10 00:27,normal,2,Wilton
Activity J,,01.01.10 00:28,normal,2,Sherlene
Activity B,,01.01.10 00:30,normal,2,Sherell
Activity A,,01.01.10 00:31,normal,3,Doretta
Activity AB,,01.01.10 00:33,normal,3,Junior
Activity AF,,01.01.10 00:34,normal,3,Steve
Activity AC,,01.01.10 00:36,normal,3,Brant
Activity AG,,01.01.10 00:37,normal,3,Chan
Activity AJ,,01.01.10 00:38,normal,3,James
Activity AH,,01.01.10 00:40,normal,3,Emily
Activity AL,,01.01.10 00:41,normal,3,Sandra
Activity AO,,01.01.10 00:43,normal,3,Wilton
Activity AM,,01.01.10 00:44,normal,3,Paul
Activity AP,,01.01.10 00:46,normal,3,Sharee
Activity B,,01.01.10 00:47,normal,3,Della
Activity A,,01.01.10 00:48,normal,4,Jamika
Activity AB,,01.01.10 00:50,normal,4,Brant
Activity AF,,01.01.10 00:51,normal,4,Steve
Activity AC,,01.01.10 00:53,normal,4,Brant
Activity AG,,01.01.10 00:54,normal,4,Lucy
Activity AI,,01.01.10 00:56,normal,4,Amanda
Activity AH,,01.01.10 00:57,normal,4,Issac
Activity AL,,01.01.10 00:59,normal,4,Sherlene
Activity AN,,01.01.10 01:00,normal,4,Clayton
Activity AM,,01.01.10 01:01,normal,4,Howard
Activity AP,,01.01.10 01:03,normal,4,Keven
Activity B,,01.01.10 01:04,normal,4,Hoyt
Activity A,,01.01.10 01:06,normal,5,Doretta
Activity AB,,01.01.10 01:07,normal,5,Junior
Activity AF,,01.01.10 01:09,normal,5,Steve
Activity AC,,01.01.10 01:10,normal,5,Brant
Activity AG,,01.01.10 01:12,normal,5,Chan
Activity AJ,,01.01.10 01:13,normal,5,Micheline
Activity AH,,01.01.10 01:14,normal,5,Brian
Activity AL,,01.01.10 01:16,normal,5,Earl
Activity AN,,01.01.10 01:17,normal,5,Alyce
Activity AM,,01.01.10 01:19,normal,5,Iluminada
Activity AP,,01.01.10 01:20,normal,5,Jamika
Activity B,,01.01.10 01:22,normal,5,Shandi
Activity A,,01.01.10 01:23,normal,6,Keven
Activity C,,01.01.10 01:24,normal,6,Roseanne
Activity D,,01.01.10 01:26,normal,6,Alpha
Activity E,,01.01.10 01:27,normal,6,Brian
Activity G,,01.01.10 01:29,normal,6,Sandra
Activity F,,01.01.10 01:30,normal,6,Brian
Activity I,,01.01.10 01:32,normal,6,Shandi
Activity O,,01.01.10 01:33,normal,6,Melany
Activity P,,01.01.10 01:35,normal,6,Johnny
Activity J,,01.01.10 01:36,normal,6,Chan
Activity B,,01.01.10 01:37,normal,6,Carmella
Activity A,,01.01.10 01:39,normal,7,Tiffiny
Activity C,,01.01.10 01:40,normal,7,Roseanne
Activity D,,01.01.10 01:42,normal,7,Alpha
Activity E,,01.01.10 01:43,normal,7,Josef
Activity H,,01.01.10 01:45,normal,7,Lourdes
Activity F,,01.01.10 01:46,normal,7,Brian
Activity I,,01.01.10 01:48,normal,7,Della
Activity M,,01.01.10 01:49,normal,7,Hannah
Activity N,,01.01.10 01:50,normal,7,Jimmy
Activity J,,01.01.10 01:52,normal,7,Sonia
Activity B,,01.01.10 01:53,normal,7,Johnny
Activity A,,01.01.10 01:55,Early,8,Johnny
Activity C,,01.01.10 01:56,Early,8,Roseanne
Activity D,,01.01.10 01:58,Early,8,Alpha
Activity E,,01.01.10 01:59,Early,8,Josef
Activity H,,01.01.10 02:00,Early,8,Lourdes
Activity F,,01.01.10 02:02,Early,8,Brian
Activity I,,01.01.10 02:03,Early,8,Velda
Activity J,,01.01.10 02:05,Early,8,Alyce
Activity K,,01.01.10 02:06,Early,8,Charles
Activity L,,01.01.10 02:08,Early,8,Micheline
Activity B,,01.01.10 02:09,Early,8,Della
Activity A,,01.01.10 02:11,Rework,9,Keven
Activity C,,01.01.10 02:12,Rework,9,Roseanne
Activity D,,01.01.10 02:13,Rework,9,Alpha
Activity E,,01.01.10 02:15,Rework,9,Josef
Activity H,,01.01.10 02:16,Rework,9,Lourdes
Activity F,,01.01.10 02:18,Rework,9,Brian
Activity I,,01.01.10 02:19,Rework,9,Della
Activity M,,01.01.10 02:21,Rework,9,Hannah
Activity N,,01.01.10 02:22,Rework,9,Ronald
Activity J,,01.01.10 02:24,Rework,9,Sherlene
Activity B,,01.01.10 02:25,Rework,9,Sherell
Activity M,,01.01.10 02:26,Rework,9,Hannah
Activity N,,01.01.10 02:28,Rework,9,Ronald
Activity J,,01.01.10 02:29,Rework,9,Sherlene
Activity A,,01.01.10 02:31,normal,10,Sherlene
Activity AB,,01.01.10 02:32,normal,10,Brant
Activity AF,,01.01.10 02:34,normal,10,Steve
Activity AC,,01.01.10 02:35,normal,10,Brant
Activity AG,,01.01.10 02:36,normal,10,Clayton
Activity AJ,,01.01.10 02:38,normal,10,James
Activity AH,,01.01.10 02:39,normal,10,Emily
Activity AL,,01.01.10 02:41,normal,10,Ronald
Activity AO,,01.01.10 02:42,normal,10,Ronald
Activity AM,,01.01.10 02:44,normal,10,Brant
Activity AP,,01.01.10 02:45,normal,10,Keven
Activity B,,01.01.10 02:47,normal,10,Junior
Activity A,,01.01.10 02:48,normal,11,Lourdes
Activity Q,,01.01.10 02:49,normal,11,Roseanne
Activity R,,01.01.10 02:51,normal,11,Howard
Activity S,,01.01.10 02:52,normal,11,Sandra
Activity T,,01.01.10 02:54,normal,11,Howard
Activity U,,01.01.10 02:55,normal,11,Shandi
Activity V,,01.01.10 02:57,normal,11,Donald
Activity X,,01.01.10 02:58,normal,11,Ryan
Activity W,,01.01.10 03:00,normal,11,Frances
Activity B,,01.01.10 03:01,normal,11,Alyce
Activity A,,01.01.10 03:02,Attribute,12,Tiffiny
Activity C,,01.01.10 03:04,Attribute,12,Roseanne
Activity D,,01.01.10 03:05,Attribute,12,Sigrid
Activity E,,01.01.10 03:07,Attribute,12,Josef
Activity H,,01.01.10 03:08,Attribute,12,Lourdes
Activity F,,01.01.10 03:10,Attribute,12,Shandi
Activity I,,01.01.10 03:11,Attribute,12,Clayton
Activity O,,01.01.10 03:12,Attribute,12,Sherell
Activity P,,01.01.10 03:14,Attribute,12,Johnny
Activity J,,01.01.10 03:15,Attribute,12,Chan
Activity B,,01.01.10 03:17,Attribute,12,Carmella
Activity A,,01.01.10 03:18,normal,13,Doretta
Activity AB,,01.01.10 03:20,normal,13,Josef
Activity AE,,01.01.10 03:21,normal,13,Doretta
Activity AC,,01.01.10 03:23,normal,13,Brant
Activity AG,,01.01.10 03:24,normal,13,Lucy
Activity AI,,01.01.10 03:25,normal,13,Amanda
Activity AH,,01.01.10 03:27,normal,13,Issac
Activity AL,,01.01.10 03:28,normal,13,Earl
Activity AN,,01.01.10 03:30,normal,13,Alyce
Activity AM,,01.01.10 03:31,normal,13,Lannie
Activity AP,,01.01.10 03:33,normal,13,Deloras
Activity B,,01.01.10 03:34,normal,13,Carmella
Activity A,,01.01.10 03:36,normal,14,Sherlene
Activity AB,,01.01.10 03:37,normal,14,Junior
Activity AF,,01.01.10 03:38,normal,14,Steve
Activity AC,,01.01.10 03:40,normal,14,Brant
Activity AG,,01.01.10 03:41,normal,14,Ling
Activity AI,,01.01.10 03:43,normal,14,Amanda
Activity AH,,01.01.10 03:44,normal,14,Doretta
Activity AL,,01.01.10 03:46,normal,14,Sherlene
Activity AN,,01.01.10 03:47,normal,14,Jack
Activity AM,,01.01.10 03:48,normal,14,Hannah
Activity AP,,01.01.10 03:50,normal,14,Pam
