concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Activity A,,01.01.10 00:00,Insert,1,Doretta
Activity C,,01.01.10 00:01,Insert,1,Jack
Activity F,,01.01.10 00:02,Insert,1,Howard
Random activity 31,,01.01.10 00:04,Insert,1,Random user 69
Activity D,,01.01.10 00:05,Insert,1,Wilton
Activity I,,01.01.10 00:07,Insert,1,Maryellen
Random activity 17,,01.01.10 00:08,Insert,1,Random user 24
Activity K,,01.01.10 00:10,Insert,1,Issac
Activity J,,01.01.10 00:11,Insert,1,Velda
Activity B,,01.01.10 00:12,Insert,1,Michaele
Activity A,,01.01.10 00:14,Insert,2,Rossana
Activity O,,01.01.10 00:15,Insert,2,Ronald
Activity U,,01.01.10 00:17,Insert,2,Velda
Random activity 1,,01.01.10 00:18,Insert,2,Random user 33
Activity X,,01.01.10 00:20,Insert,2,Pam
Random activity 5,,01.01.10 00:21,Insert,2,Random user 13
Activity V,,01.01.10 00:23,Insert,2,Maryellen
Activity P,,01.01.10 00:24,Insert,2,Ryan
Activity B,,01.01.10 00:25,Insert,2,Alpha
Activity A,,01.01.10 00:27,normal,3,Shandi
Activity Y,,01.01.10 00:28,normal,3,Marilyn
Activity B,,01.01.10 00:30,normal,3,Michaele
Activity A,,01.01.10 00:31,normal,4,Steve
Activity C,,01.01.10 00:33,normal,4,Keven
Activity G,,01.01.10 00:34,normal,4,Steve
Activity D,,01.01.10 00:36,normal,4,Emily
Activity I,,01.01.10 00:37,normal,4,Keven
Activity L,,01.01.10 00:38,normal,4,Sandra
Activity J,,01.01.10 00:40,normal,4,Gema
Activity B,,01.01.10 00:41,normal,4,Carmella
Activity A,,01.01.10 00:43,Early,5,Doretta
Activity C,,01.01.10 00:44,Early,5,Della
Activity I,,01.01.10 00:46,Early,5,Howard
Activity M,,01.01.10 00:47,Early,5,Howard
Activity G,,01.01.10 00:48,Early,5,Steve
Activity D,,01.01.10 00:50,Early,5,Deloras
Activity J,,01.01.10 00:51,Early,5,Brian
Activity B,,01.01.10 00:53,Early,5,Michaele
Activity A,,01.01.10 00:54,normal,6,Keven
Activity O,,01.01.10 00:56,normal,6,Brian
Activity U,,01.01.10 00:57,normal,6,Velda
Activity X,,01.01.10 00:59,normal,6,Jin
Activity V,,01.01.10 01:00,normal,6,Maryellen
Activity P,,01.01.10 01:01,normal,6,Ryan
Activity B,,01.01.10 01:03,normal,6,Maryellen
Activity A,,01.01.10 01:04,normal,7,Rossana
Activity O,,01.01.10 01:06,normal,7,Ronald
Activity U,,01.01.10 01:07,normal,7,Jimmy
Activity W,,01.01.10 01:09,normal,7,Evelin
Activity V,,01.01.10 01:10,normal,7,Jamika
Activity P,,01.01.10 01:12,normal,7,Ryan
Activity B,,01.01.10 01:13,normal,7,Alpha
Activity A,,01.01.10 01:14,normal,8,Micheline
Activity Y,,01.01.10 01:16,normal,8,Johnny
Activity B,,01.01.10 01:17,normal,8,Michaele
Activity A,,01.01.10 01:19,normal,9,Keven
Activity O,,01.01.10 01:20,normal,9,Ronald
Activity U,,01.01.10 01:22,normal,9,Velda
Activity X,,01.01.10 01:23,normal,9,Pam
Activity V,,01.01.10 01:24,normal,9,Maryellen
Activity P,,01.01.10 01:26,normal,9,Ryan
Activity B,,01.01.10 01:27,normal,9,Alpha
Activity A,,01.01.10 01:29,normal,10,Shandi
Activity Y,,01.01.10 01:30,normal,10,Johnny
Activity B,,01.01.10 01:32,normal,10,Michaele
Activity A,,01.01.10 01:33,normal,11,Doretta
Activity C,,01.01.10 01:35,normal,11,Wilton
Activity F,,01.01.10 01:36,normal,11,Howard
Activity D,,01.01.10 01:37,normal,11,Keven
Activity I,,01.01.10 01:39,normal,11,Maryellen
Activity K,,01.01.10 01:40,normal,11,Velda
Activity J,,01.01.10 01:42,normal,11,Jamika
Activity B,,01.01.10 01:43,normal,11,Michaele
Activity A,,01.01.10 01:45,normal,12,Doretta
Activity C,,01.01.10 01:46,normal,12,Della
Activity G,,01.01.10 01:48,normal,12,Steve
Activity D,,01.01.10 01:49,normal,12,Deloras
Activity I,,01.01.10 01:50,normal,12,Pam
Activity K,,01.01.10 01:52,normal,12,Velda
Activity J,,01.01.10 01:53,normal,12,Doretta
Activity B,,01.01.10 01:55,normal,12,Sherlene
Activity A,,01.01.10 01:56,normal,13,Rossana
Activity O,,01.01.10 01:58,normal,13,Melany
Activity S,,01.01.10 01:59,normal,13,Doretta
Activity T,,01.01.10 02:00,normal,13,Velda
Activity P,,01.01.10 02:02,normal,13,Jin
Activity B,,01.01.10 02:03,normal,13,Sherell
Activity A,,01.01.10 02:05,normal,14,Micheline
Activity Y,,01.01.10 02:06,normal,14,Ling
Activity B,,01.01.10 02:08,normal,14,Michaele
Activity A,,01.01.10 02:09,normal,15,Doretta
Activity C,,01.01.10 02:11,normal,15,Maryellen
Activity G,,01.01.10 02:12,normal,15,Steve
Activity D,,01.01.10 02:13,normal,15,Emily
Activity I,,01.01.10 02:15,normal,15,Iluminada
Activity K,,01.01.10 02:16,normal,15,Velda
Activity J,,01.01.10 02:18,normal,15,Jamika
Activity B,,01.01.10 02:19,normal,15,Michaele
Activity A,,01.01.10 02:21,normal,16,Steve
Activity C,,01.01.10 02:22,normal,16,Keven
Activity G,,01.01.10 02:24,normal,16,Steve
Activity D,,01.01.10 02:25,normal,16,Deloras
Activity I,,01.01.10 02:26,normal,16,Keven
Activity L,,01.01.10 02:28,normal,16,Keven
Activity J,,01.01.10 02:29,normal,16,Gema
Activity B,,01.01.10 02:31,normal,16,Carmella
Activity A,,01.01.10 02:32,normal,17,Keven
Activity O,,01.01.10 02:34,normal,17,Melany
Activity S,,01.01.10 02:35,normal,17,Doretta
Activity T,,01.01.10 02:36,normal,17,Velda
Activity P,,01.01.10 02:38,normal,17,Seth
Activity B,,01.01.10 02:39,normal,17,Sherlene
Activity K,,01.01.10 02:41,Early,18,Issac
Activity A,,01.01.10 02:42,Early,18,Steve
Activity C,,01.01.10 02:44,Early,18,Della
Activity G,,01.01.10 02:45,Early,18,Steve
Activity D,,01.01.10 02:47,Early,18,Emily
Activity I,,01.01.10 02:48,Early,18,Melany
Activity J,,01.01.10 02:49,Early,18,Brian
Activity B,,01.01.10 02:51,Early,18,Michaele
Activity A,,01.01.10 02:52,normal,19,Amanda
Activity C,,01.01.10 02:54,normal,19,Pam
Activity G,,01.01.10 02:55,normal,19,Amanda
Activity D,,01.01.10 02:57,normal,19,Emily
Activity I,,01.01.10 02:58,normal,19,Melany
Activity K,,01.01.10 03:00,normal,19,Issac
Activity J,,01.01.10 03:01,normal,19,Craig
Activity B,,01.01.10 03:02,normal,19,Carmella
Activity A,,01.01.10 03:04,Insert,20,Amanda
Activity C,,01.01.10 03:05,Insert,20,Jack
Random activity 9,,01.01.10 03:07,Insert,20,Random user 43
Activity F,,01.01.10 03:08,Insert,20,Howard
Activity D,,01.01.10 03:10,Insert,20,Keven
Activity I,,01.01.10 03:11,Insert,20,Maryellen
Activity K,,01.01.10 03:12,Insert,20,Velda
Activity J,,01.01.10 03:14,Insert,20,Jamika
Activity B,,01.01.10 03:15,Insert,20,Michaele
Activity A,,01.01.10 03:17,normal,21,Micheline
Activity Y,,01.01.10 03:18,normal,21,Johnny
Activity B,,01.01.10 03:20,normal,21,Michaele
Activity A,,01.01.10 03:21,SkipSequence,22,Steve
Activity C,,01.01.10 03:23,SkipSequence,22,Lisa
Activity E,,01.01.10 03:24,SkipSequence,22,Donald
Activity D,,01.01.10 03:25,SkipSequence,22,Keven
Activity I,,01.01.10 03:27,SkipSequence,22,Maryellen
Activity K,,01.01.10 03:28,SkipSequence,22,Issac
Activity B,,01.01.10 03:30,SkipSequence,22,Michaele
Activity A,,01.01.10 03:31,normal,23,Doretta
Activity C,,01.01.10 03:33,normal,23,Keven
Activity G,,01.01.10 03:34,normal,23,Steve
Activity D,,01.01.10 03:36,normal,23,Emily
Activity I,,01.01.10 03:37,normal,23,Tiffiny
Activity L,,01.01.10 03:38,normal,23,Shandi
Activity J,,01.01.10 03:40,normal,23,Micheline
Activity B,,01.01.10 03:41,normal,23,Michaele
Random activity 29,,01.01.10 03:43,Insert,24,Random user 23
Activity A,,01.01.10 03:44,Insert,24,Shandi
Activity Y,,01.01.10 03:46,Insert,24,Johnny
Activity B,,01.01.10 03:47,Insert,24,Michaele
Activity A,,01.01.10 03:48,Attribute,25,Keven
Activity O,,01.01.10 03:50,Attribute,25,Lannie
Activity U,,01.01.10 03:51,Attribute,25,Ronald
Activity W,,01.01.10 03:53,Attribute,25,Evelin
Activity V,,01.01.10 03:54,Attribute,25,Jamika
Activity P,,01.01.10 03:56,Attribute,25,Jin
Activity B,,01.01.10 03:57,Attribute,25,Ling
Activity A,,01.01.10 03:59,normal,26,Doretta
Activity C,,01.01.10 04:00,normal,26,Junior
Activity H,,01.01.10 04:01,normal,26,Jin
Activity D,,01.01.10 04:03,normal,26,Brian
Activity I,,01.01.10 04:04,normal,26,Ryan
Activity M,,01.01.10 04:06,normal,26,Junior
Activity J,,01.01.10 04:07,normal,26,Micheline
Activity B,,01.01.10 04:09,normal,26,Michaele
Activity A,,01.01.10 04:10,normal,27,Amanda
Activity C,,01.01.10 04:12,normal,27,Della
Activity G,,01.01.10 04:13,normal,27,Steve
Activity D,,01.01.10 04:14,normal,27,Emily
Activity I,,01.01.10 04:16,normal,27,Hoyt
Activity L,,01.01.10 04:17,normal,27,Sandra
Activity J,,01.01.10 04:19,normal,27,Micheline
Activity B,,01.01.10 04:20,normal,27,Michaele
Activity A,,01.01.10 04:22,normal,28,Doretta
Activity C,,01.01.10 04:23,normal,28,Della
Activity G,,01.01.10 04:24,normal,28,Steve
Activity D,,01.01.10 04:26,normal,28,Emily
Activity I,,01.01.10 04:27,normal,28,Pam
Activity K,,01.01.10 04:29,normal,28,Issac
Activity J,,01.01.10 04:30,normal,28,Frances
Activity B,,01.01.10 04:32,normal,28,Michaele
Activity A,,01.01.10 04:33,normal,29,Doretta
Activity C,,01.01.10 04:35,normal,29,Della
Activity G,,01.01.10 04:36,normal,29,Steve
Activity D,,01.01.10 04:37,normal,29,Deloras
Activity I,,01.01.10 04:39,normal,29,Melany
Activity K,,01.01.10 04:40,normal,29,Velda
Activity J,,01.01.10 04:42,normal,29,Jack
Activity B,,01.01.10 04:43,normal,29,Sherell
Activity A,,01.01.10 04:45,normal,30,Rossana
Activity O,,01.01.10 04:46,normal,30,Brian
Activity U,,01.01.10 04:48,normal,30,Jimmy
Activity W,,01.01.10 04:49,normal,30,Evelin
Activity V,,01.01.10 04:50,normal,30,Jamika
Activity P,,01.01.10 04:52,normal,30,Seth
Activity B,,01.01.10 04:53,normal,30,Sherlene
Activity A,,01.01.10 04:55,normal,31,Micheline
Activity Y,,01.01.10 04:56,normal,31,Johnny
Activity B,,01.01.10 04:58,normal,31,Michaele
Activity A,,01.01.10 04:59,normal,32,Keven
Activity O,,01.01.10 05:00,normal,32,Melany
Activity S,,01.01.10 05:02,normal,32,Doretta
Activity T,,01.01.10 05:03,normal,32,Velda
Activity P,,01.01.10 05:05,normal,32,Seth
Activity B,,01.01.10 05:06,normal,32,Issac
Activity A,,01.01.10 05:08,Insert,33,Keven
Random activity 1,,01.01.10 05:09,Insert,33,Random user 40
Activity O,,01.01.10 05:11,Insert,33,Ronald
Activity U,,01.01.10 05:12,Insert,33,Velda
Activity X,,01.01.10 05:13,Insert,33,Jin
Random activity 18,,01.01.10 05:15,Insert,33,Random user 58
