concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Create SC,,01.01.10 00:00,normal,1,Jamika
Purchase SC,,01.01.10 00:01,normal,1,Paul
Approve SC,,01.01.10 00:02,normal,1,Hugo
Create PO,,01.01.10 00:04,normal,1,Ronald
Release PO,,01.01.10 00:05,normal,1,Deloras
Post GR,,01.01.10 00:07,normal,1,Micheline
Post IR,,01.01.10 00:08,normal,1,Rossana
Pay,,01.01.10 00:10,normal,1,Lannie
Create SC,,01.01.10 00:11,normal,2,Jamika
Purchase SC,,01.01.10 00:12,normal,2,Shandi
Approve SC,,01.01.10 00:14,normal,2,Hugo
Create PO,,01.01.10 00:15,normal,2,Keven
Approve PO 1,,01.01.10 00:17,normal,2,Roseanne
Release PO,,01.01.10 00:18,normal,2,Hassie
Post GR,,01.01.10 00:20,normal,2,Velda
Post IR,,01.01.10 00:21,normal,2,Brian
Pay,,01.01.10 00:23,normal,2,Lannie
Create SC,,01.01.10 00:24,normal,3,Jamika
Purchase SC,,01.01.10 00:25,normal,3,Shandi
Approve SC,,01.01.10 00:27,normal,3,Hugo
Create PO,,01.01.10 00:28,normal,3,Wilton
Approve PO 1,,01.01.10 00:30,normal,3,Issac
Approve PO 2,,01.01.10 00:31,normal,3,Roseanne
Release PO,,01.01.10 00:33,normal,3,Hassie
Post GR,,01.01.10 00:34,normal,3,Velda
Post IR,,01.01.10 00:36,normal,3,Brian
Pay,,01.01.10 00:37,normal,3,Lannie
Create SC,,01.01.10 00:38,normal,4,Jamika
Purchase SC,,01.01.10 00:40,normal,4,Shandi
Approve SC,,01.01.10 00:41,normal,4,Hugo
Create PO,,01.01.10 00:43,normal,4,Keven
Approve PO 1,,01.01.10 00:44,normal,4,Clayton
Release PO,,01.01.10 00:46,normal,4,Hassie
Post GR,,01.01.10 00:47,normal,4,Velda
Post IR,,01.01.10 00:48,normal,4,Brian
Pay,,01.01.10 00:50,normal,4,Lannie
Create PR,,01.01.10 00:51,normal,5,Lisa
Release PR,,01.01.10 00:53,normal,5,Evelin
Create PO,,01.01.10 00:54,normal,5,Wilton
Approve PO 1,,01.01.10 00:56,normal,5,Doretta
Release PO,,01.01.10 00:57,normal,5,Hassie
Post GR,,01.01.10 00:59,normal,5,Velda
Post IR,,01.01.10 01:00,normal,5,Brian
Pay,,01.01.10 01:01,normal,5,Lannie
Create PR,,01.01.10 01:03,normal,6,Lisa
Release PR,,01.01.10 01:04,normal,6,Evelin
Create PO,,01.01.10 01:06,normal,6,Keven
Approve PO 1,,01.01.10 01:07,normal,6,Issac
Approve PO 2,,01.01.10 01:09,normal,6,Ryan
Approve PO 3,,01.01.10 01:10,normal,6,Sherell
Release PO,,01.01.10 01:12,normal,6,Hassie
Post GR,,01.01.10 01:13,normal,6,Velda
Post IR,,01.01.10 01:14,normal,6,Brian
Pay,,01.01.10 01:16,normal,6,Lannie
Create SC,,01.01.10 01:17,Insert,7,Jamika
Random activity 2,,01.01.10 01:19,Insert,7,Random user 36
Purchase SC,,01.01.10 01:20,Insert,7,Paul
Random activity 11,,01.01.10 01:22,Insert,7,Random user 50
Approve SC,,01.01.10 01:23,Insert,7,Hugo
Create PO,,01.01.10 01:24,Insert,7,Ronald
Release PO,,01.01.10 01:26,Insert,7,Hassie
Post GR,,01.01.10 01:27,Insert,7,Velda
Post IR,,01.01.10 01:29,Insert,7,Brian
Pay,,01.01.10 01:30,Insert,7,Lannie
Create SC,,01.01.10 01:32,normal,8,Jamika
Purchase SC,,01.01.10 01:33,normal,8,Paul
Approve SC,,01.01.10 01:35,normal,8,Hugo
Create PO,,01.01.10 01:36,normal,8,Wilton
Approve PO 1,,01.01.10 01:37,normal,8,Issac
Approve PO 2,,01.01.10 01:39,normal,8,Seth
Release PO,,01.01.10 01:40,normal,8,Hassie
Post GR,,01.01.10 01:42,normal,8,Velda
Post IR,,01.01.10 01:43,normal,8,Rossana
Pay,,01.01.10 01:45,normal,8,Lannie
Create SC,,01.01.10 01:46,Insert,9,Jamika
Purchase SC,,01.01.10 01:48,Insert,9,Shandi
Approve SC,,01.01.10 01:49,Insert,9,Hugo
Create PO,,01.01.10 01:50,Insert,9,Ronald
Release PO,,01.01.10 01:52,Insert,9,Deloras
Random activity 10,,01.01.10 01:53,Insert,9,Random user 60
Post GR,,01.01.10 01:55,Insert,9,Lisa
Post IR,,01.01.10 01:56,Insert,9,Johnny
Pay,,01.01.10 01:58,Insert,9,Lannie
Create PR,,01.01.10 01:59,normal,10,Lisa
Release PR,,01.01.10 02:00,normal,10,Evelin
Create PO,,01.01.10 02:02,normal,10,Ronald
Release PO,,01.01.10 02:03,normal,10,Hassie
Post GR,,01.01.10 02:05,normal,10,Velda
Post IR,,01.01.10 02:06,normal,10,Rossana
Pay,,01.01.10 02:08,normal,10,Lannie
Create SC,,01.01.10 02:09,normal,11,Jamika
Purchase SC,,01.01.10 02:11,normal,11,Paul
Approve SC,,01.01.10 02:12,normal,11,Hugo
Create PO,,01.01.10 02:13,normal,11,Ronald
Release PO,,01.01.10 02:15,normal,11,Hassie
Post GR,,01.01.10 02:16,normal,11,Velda
Post IR,,01.01.10 02:18,normal,11,Rossana
Pay,,01.01.10 02:19,normal,11,Lannie
Create SC,,01.01.10 02:21,Early,12,Jamika
Create PO,,01.01.10 02:22,Early,12,Ronald
Purchase SC,,01.01.10 02:24,Early,12,Paul
Approve SC,,01.01.10 02:25,Early,12,Hugo
Release PO,,01.01.10 02:26,Early,12,Deloras
Post GR,,01.01.10 02:28,Early,12,Doretta
Post IR,,01.01.10 02:29,Early,12,Brian
Pay,,01.01.10 02:31,Early,12,Lannie
Create PR,,01.01.10 02:32,Early,13,Sonia
Release PR,,01.01.10 02:34,Early,13,Evelin
Post GR,,01.01.10 02:35,Early,13,Velda
Post IR,,01.01.10 02:36,Early,13,Brian
Create PO,,01.01.10 02:38,Early,13,Ronald
Release PO,,01.01.10 02:39,Early,13,Hassie
Pay,,01.01.10 02:41,Early,13,Lannie
Create SC,,01.01.10 02:42,normal,14,Jamika
Purchase SC,,01.01.10 02:44,normal,14,Shandi
Approve SC,,01.01.10 02:45,normal,14,Hugo
Create PO,,01.01.10 02:47,normal,14,Wilton
Approve PO 1,,01.01.10 02:48,normal,14,Doretta
Release PO,,01.01.10 02:49,normal,14,Hassie
Post GR,,01.01.10 02:51,normal,14,Velda
Post IR,,01.01.10 02:52,normal,14,Brian
Pay,,01.01.10 02:54,normal,14,Lannie
Create SC,,01.01.10 02:55,Early,15,Jamika
Purchase SC,,01.01.10 02:57,Early,15,Paul
Approve SC,,01.01.10 02:58,Early,15,Hugo
Release PO,,01.01.10 03:00,Early,15,Grayce
Post GR,,01.01.10 03:01,Early,15,Junior
Create PO,,01.01.10 03:02,Early,15,Wilton
Approve PO 1,,01.01.10 03:04,Early,15,Alpha
Approve PO 2,,01.01.10 03:05,Early,15,Roseanne
Post IR,,01.01.10 03:07,Early,15,Johnny
Pay,,01.01.10 03:08,Early,15,Lannie
Create SC,,01.01.10 03:10,normal,16,Jamika
Purchase SC,,01.01.10 03:11,normal,16,Shandi
Approve SC,,01.01.10 03:12,normal,16,Hugo
Create PO,,01.01.10 03:14,normal,16,Ronald
Release PO,,01.01.10 03:15,normal,16,Deloras
Post GR,,01.01.10 03:17,normal,16,Jin
Post IR,,01.01.10 03:18,normal,16,Howard
Pay,,01.01.10 03:20,normal,16,Lannie
Create SC,,01.01.10 03:21,normal,17,Jamika
Purchase SC,,01.01.10 03:23,normal,17,Paul
Approve SC,,01.01.10 03:24,normal,17,Hugo
Create PO,,01.01.10 03:25,normal,17,Wilton
Approve PO 1,,01.01.10 03:27,normal,17,Clayton
Release PO,,01.01.10 03:28,normal,17,Hassie
Post GR,,01.01.10 03:30,normal,17,Velda
Post IR,,01.01.10 03:31,normal,17,Brian
Pay,,01.01.10 03:33,normal,17,Lannie
Create SC,,01.01.10 03:34,normal,18,Jamika
Purchase SC,,01.01.10 03:36,normal,18,Shandi
Approve SC,,01.01.10 03:37,normal,18,Hugo
Create PO,,01.01.10 03:38,normal,18,Ronald
Release PO,,01.01.10 03:40,normal,18,Deloras
Post GR,,01.01.10 03:41,normal,18,Jack
Post IR,,01.01.10 03:43,normal,18,Howard
Pay,,01.01.10 03:44,normal,18,Lannie
Create SC,,01.01.10 03:46,normal,19,Jamika
Purchase SC,,01.01.10 03:47,normal,19,Shandi
Approve SC,,01.01.10 03:48,normal,19,Hugo
Create PO,,01.01.10 03:50,normal,19,Wilton
Approve PO 1,,01.01.10 03:51,normal,19,Doretta
Release PO,,01.01.10 03:53,normal,19,Deloras
Post GR,,01.01.10 03:54,normal,19,Sherell
Post IR,,01.01.10 03:56,normal,19,Alyce
Pay,,01.01.10 03:57,normal,19,Lannie
Create SC,,01.01.10 03:59,Early,20,Jamika
Purchase SC,,01.01.10 04:00,Early,20,Shandi
Post GR,,01.01.10 04:01,Early,20,Jack
Post IR,,01.01.10 04:03,Early,20,Howard
Approve SC,,01.01.10 04:04,Early,20,Hugo
Create PO,,01.01.10 04:06,Early,20,Wilton
Approve PO 1,,01.01.10 04:07,Early,20,Clayton
Release PO,,01.01.10 04:09,Early,20,Deloras
Pay,,01.01.10 04:10,Early,20,Lannie
Create SC,,01.01.10 04:12,normal,21,Jamika
Purchase SC,,01.01.10 04:13,normal,21,Paul
Approve SC,,01.01.10 04:14,normal,21,Hugo
Create PO,,01.01.10 04:16,normal,21,Ronald
Release PO,,01.01.10 04:17,normal,21,Deloras
Post GR,,01.01.10 04:19,normal,21,Lisa
Post IR,,01.01.10 04:20,normal,21,Michaele
Pay,,01.01.10 04:22,normal,21,Lannie
Create SC,,01.01.10 04:23,normal,22,Jamika
Purchase SC,,01.01.10 04:24,normal,22,Shandi
Approve SC,,01.01.10 04:26,normal,22,Hugo
Create PO,,01.01.10 04:27,normal,22,Wilton
Approve PO 1,,01.01.10 04:29,normal,22,Chan
Release PO,,01.01.10 04:30,normal,22,Hassie
Post GR,,01.01.10 04:32,normal,22,Velda
Post IR,,01.01.10 04:33,normal,22,Rossana
Pay,,01.01.10 04:35,normal,22,Lannie
Create SC,,01.01.10 04:36,normal,23,Jamika
Purchase SC,,01.01.10 04:37,normal,23,Paul
Approve SC,,01.01.10 04:39,normal,23,Hugo
Create PO,,01.01.10 04:40,normal,23,Wilton
Approve PO 1,,01.01.10 04:42,normal,23,Doretta
Release PO,,01.01.10 04:43,normal,23,Hassie
Post GR,,01.01.10 04:45,normal,23,Velda
Post IR,,01.01.10 04:46,normal,23,Rossana
Pay,,01.01.10 04:48,normal,23,Lannie
Create SC,,01.01.10 04:49,normal,24,Jamika
Purchase SC,,01.01.10 04:50,normal,24,Paul
Approve SC,,01.01.10 04:52,normal,24,Hugo
Create PO,,01.01.10 04:53,normal,24,Ronald
Release PO,,01.01.10 04:55,normal,24,Hassie
Post GR,,01.01.10 04:56,normal,24,Velda
Post IR,,01.01.10 04:58,normal,24,Brian
Pay,,01.01.10 04:59,normal,24,Lannie
Create PR,,01.01.10 05:00,normal,25,Lisa
Release PR,,01.01.10 05:02,normal,25,Wilton
Create PO,,01.01.10 05:03,normal,25,Wilton
Approve PO 1,,01.01.10 05:05,normal,25,Chan
Release PO,,01.01.10 05:06,normal,25,Hassie
Post GR,,01.01.10 05:08,normal,25,Velda
Post IR,,01.01.10 05:09,normal,25,Rossana
Pay,,01.01.10 05:11,normal,25,Lannie
Create SC,,01.01.10 05:12,normal,26,Jamika
Purchase SC,,01.01.10 05:13,normal,26,Paul
Approve SC,,01.01.10 05:15,normal,26,Hugo
Create PO,,01.01.10 05:16,normal,26,Wilton
Approve PO 1,,01.01.10 05:18,normal,26,Alpha
Approve PO 2,,01.01.10 05:19,normal,26,Sigrid
Release PO,,01.01.10 05:21,normal,26,Lannie
Post GR,,01.01.10 05:22,normal,26,Jin
Post IR,,01.01.10 05:24,normal,26,Howard
Pay,,01.01.10 05:25,normal,26,Lannie
Create SC,,01.01.10 05:26,normal,27,Jamika
Purchase SC,,01.01.10 05:28,normal,27,Paul
Approve SC,,01.01.10 05:29,normal,27,Hugo
Create PO,,01.01.10 05:31,normal,27,Ronald
Release PO,,01.01.10 05:32,normal,27,Hassie
Post GR,,01.01.10 05:34,normal,27,Velda
Post IR,,01.01.10 05:35,normal,27,Brian
Pay,,01.01.10 05:36,normal,27,Lannie
Create SC,,01.01.10 05:38,normal,28,Jamika
Purchase SC,,01.01.10 05:39,normal,28,Shandi
Approve SC,,01.01.10 05:41,normal,28,Hugo
Create PO,,01.01.10 05:42,normal,28,Ronald
Release PO,,01.01.10 05:44,normal,28,Tiffiny
Post GR,,01.01.10 05:45,normal,28,Jack
Post IR,,01.01.10 05:47,normal,28,Howard
Pay,,01.01.10 05:48,normal,28,Lannie
Create PR,,01.01.10 05:49,Rework,29,Lisa
Release PR,,01.01.10 05:51,Rework,29,Evelin
Create PO,,01.01.10 05:52,Rework,29,Wilton
Approve PO 1,,01.01.10 05:54,Rework,29,Clayton
Release PO,,01.01.10 05:55,Rework,29,Deloras
Post GR,,01.01.10 05:57,Rework,29,Doretta
Post IR,,01.01.10 05:58,Rework,29,Rossana
Pay,,01.01.10 06:00,Rework,29,Lannie
Post GR,,01.01.10 06:01,Rework,29,Doretta
Post IR,,01.01.10 06:02,Rework,29,Rossana
Pay,,01.01.10 06:04,Rework,29,Lannie
Create PR,,01.01.10 06:05,normal,30,Lisa
Release PR,,01.01.10 06:07,normal,30,Evelin
Create PO,,01.01.10 06:08,normal,30,Wilton
Approve PO 1,,01.01.10 06:10,normal,30,Doretta
Release PO,,01.01.10 06:11,normal,30,Hassie
Post GR,,01.01.10 06:12,normal,30,Velda
Post IR,,01.01.10 06:14,normal,30,Brian
Pay,,01.01.10 06:15,normal,30,Lannie
Create SC,,01.01.10 06:17,normal,31,Jamika
Purchase SC,,01.01.10 06:18,normal,31,Shandi
Approve SC,,01.01.10 06:20,normal,31,Hugo
Create PO,,01.01.10 06:21,normal,31,Ronald
Release PO,,01.01.10 06:23,normal,31,Tiffiny
Post GR,,01.01.10 06:24,normal,31,Jack
Post IR,,01.01.10 06:25,normal,31,Howard
Pay,,01.01.10 06:27,normal,31,Lannie
Create PR,,01.01.10 06:28,normal,32,Lisa
Release PR,,01.01.10 06:30,normal,32,Evelin
Create PO,,01.01.10 06:31,normal,32,Ronald
Release PO,,01.01.10 06:33,normal,32,Deloras
Post GR,,01.01.10 06:34,normal,32,Lisa
Post IR,,01.01.10 06:36,normal,32,Johnny
Pay,,01.01.10 06:37,normal,32,Lannie
Create SC,,01.01.10 06:38,normal,33,Jamika
Purchase SC,,01.01.10 06:40,normal,33,Paul
Approve SC,,01.01.10 06:41,normal,33,Hugo
Create PO,,01.01.10 06:43,normal,33,Wilton
Approve PO 1,,01.01.10 06:44,normal,33,Doretta
Release PO,,01.01.10 06:46,normal,33,Deloras
Post GR,,01.01.10 06:47,normal,33,Jack
Post IR,,01.01.10 06:48,normal,33,Howard
Pay,,01.01.10 06:50,normal,33,Lannie
Create SC,,01.01.10 06:51,normal,34,Jamika
Purchase SC,,01.01.10 06:53,normal,34,Paul
Approve SC,,01.01.10 06:54,normal,34,Hugo
Create PO,,01.01.10 06:56,normal,34,Wilton
Approve PO 1,,01.01.10 06:57,normal,34,Clayton
Release PO,,01.01.10 06:59,normal,34,Hassie
Post GR,,01.01.10 07:00,normal,34,Velda
Post IR,,01.01.10 07:01,normal,34,Brian
Pay,,01.01.10 07:03,normal,34,Lannie
Create SC,,01.01.10 07:04,normal,35,Jamika
Purchase SC,,01.01.10 07:06,normal,35,Paul
Approve SC,,01.01.10 07:07,normal,35,Hugo
Create PO,,01.01.10 07:09,normal,35,Keven
Approve PO 1,,01.01.10 07:10,normal,35,Doretta
Release PO,,01.01.10 07:12,normal,35,Deloras
Post GR,,01.01.10 07:13,normal,35,Jack
Post IR,,01.01.10 07:14,normal,35,Howard
Pay,,01.01.10 07:16,normal,35,Lannie
Create SC,,01.01.10 07:17,normal,36,Jamika
Purchase SC,,01.01.10 07:19,normal,36,Paul
Approve SC,,01.01.10 07:20,normal,36,Hugo
Create PO,,01.01.10 07:22,normal,36,Ronald
Release PO,,01.01.10 07:23,normal,36,Hassie
Post GR,,01.01.10 07:24,normal,36,Velda
Post IR,,01.01.10 07:26,normal,36,Brian
Pay,,01.01.10 07:27,normal,36,Lannie
Create PO,,01.01.10 07:29,Late,37,Ronald
Release PO,,01.01.10 07:30,Late,37,Deloras
Create PR,,01.01.10 07:32,Late,37,Sonia
Release PR,,01.01.10 07:33,Late,37,Evelin
Post GR,,01.01.10 07:35,Late,37,Junior
Post IR,,01.01.10 07:36,Late,37,Marilyn
Pay,,01.01.10 07:37,Late,37,Lannie
Create SC,,01.01.10 07:39,normal,38,Jamika
