concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Activity A,,01.01.10 00:00,normal,1,Sherlene
Activity B,,01.01.10 00:01,normal,1,Earl
Activity C,,01.01.10 00:02,normal,1,Brant
Activity D,,01.01.10 00:04,normal,1,Lourdes
Activity E,,01.01.10 00:05,normal,1,Hugo
Activity G,,01.01.10 00:07,normal,1,Lourdes
Activity H,,01.01.10 00:08,normal,1,Hoyt
Activity I,,01.01.10 00:10,normal,1,Jack
Activity J,,01.01.10 00:11,normal,1,Sonia
Activity F,,01.01.10 00:12,normal,1,Howard
Random activity 18,,01.01.10 00:14,Insert,2,Random user 58
Activity A,,01.01.10 00:15,Insert,2,Sherlene
Activity B,,01.01.10 00:17,Insert,2,Doretta
Activity C,,01.01.10 00:18,Insert,2,Brant
Activity D,,01.01.10 00:20,Insert,2,Lourdes
Random activity 11,,01.01.10 00:21,Insert,2,Random user 17
Activity E,,01.01.10 00:23,Insert,2,Paul
Activity T,,01.01.10 00:24,Insert,2,Ryan
Activity F,,01.01.10 00:25,Insert,2,Lisa
Activity A,,01.01.10 00:27,normal,3,Sherlene
Activity B,,01.01.10 00:28,normal,3,Earl
Activity C,,01.01.10 00:30,normal,3,Brant
Activity D,,01.01.10 00:31,normal,3,Lourdes
Activity E,,01.01.10 00:33,normal,3,Tiffiny
Activity K,,01.01.10 00:34,normal,3,Melany
Activity O,,01.01.10 00:36,normal,3,Melany
Activity P,,01.01.10 00:37,normal,3,Jimmy
Activity L,,01.01.10 00:38,normal,3,Amanda
Activity F,,01.01.10 00:40,normal,3,Emily
Activity A,,01.01.10 00:41,normal,4,Sherlene
Activity B,,01.01.10 00:43,normal,4,Doretta
Activity C,,01.01.10 00:44,normal,4,James
Activity D,,01.01.10 00:46,normal,4,Lourdes
Activity E,,01.01.10 00:47,normal,4,Tiffiny
Activity K,,01.01.10 00:48,normal,4,Pam
Activity M,,01.01.10 00:50,normal,4,Issac
Activity N,,01.01.10 00:51,normal,4,Sonia
Activity L,,01.01.10 00:53,normal,4,Keven
Activity F,,01.01.10 00:54,normal,4,Howard
Activity A,,01.01.10 00:56,normal,5,Sherlene
Activity B,,01.01.10 00:57,normal,5,Doretta
Activity C,,01.01.10 00:59,normal,5,James
Activity D,,01.01.10 01:00,normal,5,Lourdes
Activity E,,01.01.10 01:01,normal,5,Gema
Activity K,,01.01.10 01:03,normal,5,Melany
Activity O,,01.01.10 01:04,normal,5,Melany
Activity P,,01.01.10 01:06,normal,5,Sigrid
Activity L,,01.01.10 01:07,normal,5,Amanda
Activity F,,01.01.10 01:09,normal,5,Emily
Activity A,,01.01.10 01:10,normal,6,Sherlene
Activity B,,01.01.10 01:12,normal,6,Doretta
Activity C,,01.01.10 01:13,normal,6,Brant
Activity D,,01.01.10 01:14,normal,6,Lourdes
Activity E,,01.01.10 01:16,normal,6,Paul
Activity T,,01.01.10 01:17,normal,6,Ryan
Activity F,,01.01.10 01:19,normal,6,Lisa
Activity A,,01.01.10 01:20,normal,7,Sherlene
Activity B,,01.01.10 01:22,normal,7,Doretta
Activity C,,01.01.10 01:23,normal,7,Brant
Activity D,,01.01.10 01:24,normal,7,Lourdes
Activity E,,01.01.10 01:26,normal,7,Hugo
Activity G,,01.01.10 01:27,normal,7,Lourdes
Activity H,,01.01.10 01:29,normal,7,Hoyt
Activity I,,01.01.10 01:30,normal,7,Jack
Activity J,,01.01.10 01:32,normal,7,Sonia
Activity F,,01.01.10 01:33,normal,7,Howard
Activity A,,01.01.10 01:35,normal,8,Sherlene
Activity B,,01.01.10 01:36,normal,8,Doretta
Activity C,,01.01.10 01:37,normal,8,Brant
Activity D,,01.01.10 01:39,normal,8,Lourdes
Activity E,,01.01.10 01:40,normal,8,Paul
Activity T,,01.01.10 01:42,normal,8,Ryan
Activity F,,01.01.10 01:43,normal,8,Lisa
Activity A,,01.01.10 01:45,normal,9,Sherlene
Activity B,,01.01.10 01:46,normal,9,Earl
Activity C,,01.01.10 01:48,normal,9,James
Activity D,,01.01.10 01:49,normal,9,Lourdes
Activity E,,01.01.10 01:50,normal,9,Hugo
Activity G,,01.01.10 01:52,normal,9,Elisha
Activity H,,01.01.10 01:53,normal,9,Hoyt
Activity I,,01.01.10 01:55,normal,9,Jack
Activity J,,01.01.10 01:56,normal,9,Sonia
Activity F,,01.01.10 01:58,normal,9,Howard
Activity A,,01.01.10 01:59,Rework,10,Sherlene
Activity B,,01.01.10 02:00,Rework,10,Earl
Activity C,,01.01.10 02:02,Rework,10,Brant
Activity D,,01.01.10 02:03,Rework,10,Lourdes
Activity B,,01.01.10 02:05,Rework,10,Earl
Activity C,,01.01.10 02:06,Rework,10,Brant
Activity E,,01.01.10 02:08,Rework,10,Tiffiny
Activity K,,01.01.10 02:09,Rework,10,Rossana
Activity R,,01.01.10 02:11,Rework,10,Carmella
Activity S,,01.01.10 02:12,Rework,10,Velda
Activity L,,01.01.10 02:13,Rework,10,Amanda
Activity F,,01.01.10 02:15,Rework,10,Emily
Activity A,,01.01.10 02:16,normal,11,Sherlene
Activity B,,01.01.10 02:18,normal,11,Earl
Activity C,,01.01.10 02:19,normal,11,James
Activity D,,01.01.10 02:21,normal,11,Lourdes
Activity E,,01.01.10 02:22,normal,11,Gema
Activity K,,01.01.10 02:24,normal,11,Pam
Activity M,,01.01.10 02:25,normal,11,Issac
Activity N,,01.01.10 02:26,normal,11,Sonia
Activity L,,01.01.10 02:28,normal,11,Keven
Activity F,,01.01.10 02:29,normal,11,Howard
Activity A,,01.01.10 02:31,normal,12,Sherlene
Activity B,,01.01.10 02:32,normal,12,Earl
Activity C,,01.01.10 02:34,normal,12,Brant
Activity D,,01.01.10 02:35,normal,12,Lourdes
Activity E,,01.01.10 02:36,normal,12,Hugo
Activity G,,01.01.10 02:38,normal,12,Elisha
Activity H,,01.01.10 02:39,normal,12,James
Activity I,,01.01.10 02:41,normal,12,Jack
Activity J,,01.01.10 02:42,normal,12,Sonia
Activity F,,01.01.10 02:44,normal,12,Howard
Activity A,,01.01.10 02:45,normal,13,Sherlene
Activity B,,01.01.10 02:47,normal,13,Earl
Activity C,,01.01.10 02:48,normal,13,James
Activity D,,01.01.10 02:49,normal,13,Lourdes
Activity E,,01.01.10 02:51,normal,13,Hugo
Activity G,,01.01.10 02:52,normal,13,Elisha
Activity H,,01.01.10 02:54,normal,13,James
Activity I,,01.01.10 02:55,normal,13,Jack
Activity J,,01.01.10 02:57,normal,13,Sonia
Activity F,,01.01.10 02:58,normal,13,Howard
Activity A,,01.01.10 03:00,normal,14,Sherlene
Activity B,,01.01.10 03:01,normal,14,Earl
Activity C,,01.01.10 03:02,normal,14,Brant
Activity D,,01.01.10 03:04,normal,14,Lourdes
Activity E,,01.01.10 03:05,normal,14,Hugo
Activity G,,01.01.10 03:07,normal,14,Elisha
Activity H,,01.01.10 03:08,normal,14,Hoyt
Activity I,,01.01.10 03:10,normal,14,Jack
Activity J,,01.01.10 03:11,normal,14,Sonia
Activity F,,01.01.10 03:12,normal,14,Howard
Activity A,,01.01.10 03:14,normal,15,Sherlene
Activity B,,01.01.10 03:15,normal,15,Earl
Activity C,,01.01.10 03:17,normal,15,James
Activity D,,01.01.10 03:18,normal,15,Lourdes
Activity E,,01.01.10 03:20,normal,15,Gema
Activity K,,01.01.10 03:21,normal,15,Pam
Activity M,,01.01.10 03:23,normal,15,Issac
Activity N,,01.01.10 03:24,normal,15,Sonia
Activity L,,01.01.10 03:25,normal,15,Jack
Activity F,,01.01.10 03:27,normal,15,Howard
Activity A,,01.01.10 03:28,normal,16,Sherlene
Activity B,,01.01.10 03:30,normal,16,Doretta
Activity C,,01.01.10 03:31,normal,16,Donald
Activity D,,01.01.10 03:33,normal,16,Lourdes
Activity E,,01.01.10 03:34,normal,16,Della
Activity K,,01.01.10 03:36,normal,16,Pam
Activity M,,01.01.10 03:37,normal,16,Issac
Activity N,,01.01.10 03:38,normal,16,Sonia
Activity L,,01.01.10 03:40,normal,16,Ling
Activity F,,01.01.10 03:41,normal,16,Howard
Activity A,,01.01.10 03:43,normal,17,Sherlene
Activity B,,01.01.10 03:44,normal,17,Doretta
Activity C,,01.01.10 03:46,normal,17,James
Activity D,,01.01.10 03:47,normal,17,Lourdes
Activity E,,01.01.10 03:48,normal,17,Della
Activity T,,01.01.10 03:50,normal,17,Ryan
Activity F,,01.01.10 03:51,normal,17,Lisa
Activity A,,01.01.10 03:53,normal,18,Sherlene
Activity B,,01.01.10 03:54,normal,18,Doretta
Activity C,,01.01.10 03:56,normal,18,Brant
Activity D,,01.01.10 03:57,normal,18,Lourdes
Activity E,,01.01.10 03:59,normal,18,Della
Activity T,,01.01.10 04:00,normal,18,Ryan
Activity F,,01.01.10 04:01,normal,18,Lisa
Activity A,,01.01.10 04:03,normal,19,Sherlene
Activity B,,01.01.10 04:04,normal,19,Earl
Activity C,,01.01.10 04:06,normal,19,Brant
Activity D,,01.01.10 04:07,normal,19,Lourdes
Activity E,,01.01.10 04:09,normal,19,Paul
Activity T,,01.01.10 04:10,normal,19,Ryan
Activity F,,01.01.10 04:12,normal,19,Lisa
Activity A,,01.01.10 04:13,Early,20,Sherlene
Activity B,,01.01.10 04:14,Early,20,Earl
Activity D,,01.01.10 04:16,Early,20,Lourdes
Activity E,,01.01.10 04:17,Early,20,Gema
Activity C,,01.01.10 04:19,Early,20,Brant
Activity K,,01.01.10 04:20,Early,20,Pam
Activity M,,01.01.10 04:22,Early,20,Issac
Activity N,,01.01.10 04:23,Early,20,Sonia
Activity L,,01.01.10 04:24,Early,20,Keven
Activity F,,01.01.10 04:26,Early,20,Howard
Activity B,,01.01.10 04:27,Late,21,Earl
Activity C,,01.01.10 04:29,Late,21,James
Activity D,,01.01.10 04:30,Late,21,Lourdes
Activity E,,01.01.10 04:32,Late,21,Tiffiny
Activity K,,01.01.10 04:33,Late,21,Melany
Activity A,,01.01.10 04:35,Late,21,Sherlene
Activity O,,01.01.10 04:36,Late,21,Melany
Activity P,,01.01.10 04:37,Late,21,Grayce
Activity L,,01.01.10 04:39,Late,21,Amanda
Activity F,,01.01.10 04:40,Late,21,Emily
Activity A,,01.01.10 04:42,normal,22,Sherlene
Activity B,,01.01.10 04:43,normal,22,Doretta
Activity C,,01.01.10 04:45,normal,22,Donald
Activity D,,01.01.10 04:46,normal,22,Lourdes
Activity E,,01.01.10 04:48,normal,22,Paul
Activity T,,01.01.10 04:49,normal,22,Ryan
Activity F,,01.01.10 04:50,normal,22,Lisa
Activity A,,01.01.10 04:52,Rework,23,Sherlene
Activity B,,01.01.10 04:53,Rework,23,Earl
Activity C,,01.01.10 04:55,Rework,23,Brant
Activity D,,01.01.10 04:56,Rework,23,Lourdes
Activity E,,01.01.10 04:58,Rework,23,Della
Activity T,,01.01.10 04:59,Rework,23,Ryan
Activity F,,01.01.10 05:00,Rework,23,Lisa
Activity B,,01.01.10 05:02,Rework,23,Earl
Activity C,,01.01.10 05:03,Rework,23,Brant
Activity D,,01.01.10 05:05,Rework,23,Lourdes
Activity A,,01.01.10 05:06,normal,24,Sherlene
Activity B,,01.01.10 05:08,normal,24,Doretta
Activity C,,01.01.10 05:09,normal,24,James
Activity D,,01.01.10 05:11,normal,24,Lourdes
Activity E,,01.01.10 05:12,normal,24,Tiffiny
Activity K,,01.01.10 05:13,normal,24,Melany
Activity O,,01.01.10 05:15,normal,24,Melany
Activity P,,01.01.10 05:16,normal,24,Sigrid
Activity L,,01.01.10 05:18,normal,24,Steve
