concept:name,timestamp,time:timestamp,case:label,case:concept:name,org:resource
Activity N,,01.01.10 00:00,Early,1,Roy
Activity A,,01.01.10 00:01,Early,1,Della
Activity AE,,01.01.10 00:02,Early,1,Hoyt
Activity AF,,01.01.10 00:04,Early,1,Rossie
Activity O,,01.01.10 00:05,Early,1,Junior
Activity B,,01.01.10 00:07,Early,1,Deloras
Activity A,,01.01.10 00:08,normal,2,Alyce
Activity N,,01.01.10 00:10,normal,2,Wilton
Activity Y,,01.01.10 00:11,normal,2,Lourdes
Activity AD,,01.01.10 00:12,normal,2,Brant
Activity Z,,01.01.10 00:14,normal,2,Michaele
Activity O,,01.01.10 00:15,normal,2,Keven
Activity B,,01.01.10 00:17,normal,2,Grayce
Activity A,,01.01.10 00:18,normal,3,Della
Activity N,,01.01.10 00:20,normal,3,Earl
Activity P,,01.01.10 00:21,normal,3,Emily
Activity Q,,01.01.10 00:23,normal,3,Della
Activity O,,01.01.10 00:24,normal,3,Charles
Activity B,,01.01.10 00:25,normal,3,Brian
Activity A,,01.01.10 00:27,Attribute,4,Clayton
Activity N,,01.01.10 00:28,Attribute,4,Brant
Activity R,,01.01.10 00:30,Attribute,4,Howard
Activity U,,01.01.10 00:31,Attribute,4,Ling
Activity S,,01.01.10 00:33,Attribute,4,Vickie
Activity O,,01.01.10 00:34,Attribute,4,Micheline
Activity B,,01.01.10 00:36,Attribute,4,Melany
Activity N,,01.01.10 00:37,Early,5,Brant
Activity AG,,01.01.10 00:38,Early,5,Sandra
Activity A,,01.01.10 00:40,Early,5,Alyce
Activity AH,,01.01.10 00:41,Early,5,Jamika
Activity O,,01.01.10 00:43,Early,5,Howard
Activity B,,01.01.10 00:44,Early,5,Deloras
Activity A,,01.01.10 00:46,normal,6,Della
Activity N,,01.01.10 00:47,normal,6,Roy
Activity AE,,01.01.10 00:48,normal,6,Hoyt
Activity AF,,01.01.10 00:50,normal,6,Rossie
Activity O,,01.01.10 00:51,normal,6,Jamika
Activity B,,01.01.10 00:53,normal,6,Gema
Activity A,,01.01.10 00:54,normal,7,Della
Activity N,,01.01.10 00:56,normal,7,Hassie
Activity AG,,01.01.10 00:57,normal,7,Sandra
Activity AH,,01.01.10 00:59,normal,7,Jamika
Activity O,,01.01.10 01:00,normal,7,Howard
Activity B,,01.01.10 01:01,normal,7,Grayce
Activity A,,01.01.10 01:03,normal,8,Della
Activity N,,01.01.10 01:04,normal,8,Brant
Activity AG,,01.01.10 01:06,normal,8,Sandra
Activity AH,,01.01.10 01:07,normal,8,Jamika
Activity O,,01.01.10 01:09,normal,8,Howard
Activity B,,01.01.10 01:10,normal,8,Deloras
Activity A,,01.01.10 01:12,Early,9,Della
Activity AG,,01.01.10 01:13,Early,9,Sandra
Activity N,,01.01.10 01:14,Early,9,Brant
Activity AH,,01.01.10 01:16,Early,9,Jamika
Activity O,,01.01.10 01:17,Early,9,Howard
Activity B,,01.01.10 01:19,Early,9,Deloras
Activity A,,01.01.10 01:20,normal,10,Della
Activity N,,01.01.10 01:22,normal,10,Doretta
Activity R,,01.01.10 01:23,normal,10,Sherell
Activity U,,01.01.10 01:24,normal,10,Ling
Activity S,,01.01.10 01:26,normal,10,Vickie
Activity O,,01.01.10 01:27,normal,10,Hoyt
Activity B,,01.01.10 01:29,normal,10,Deloras
Activity A,,01.01.10 01:30,normal,11,Della
Activity N,,01.01.10 01:32,normal,11,Brant
Activity R,,01.01.10 01:33,normal,11,Carmella
Activity U,,01.01.10 01:35,normal,11,Ling
Activity S,,01.01.10 01:36,normal,11,Vickie
Activity O,,01.01.10 01:37,normal,11,Junior
Activity B,,01.01.10 01:39,normal,11,Tiffiny
Activity A,,01.01.10 01:40,Rework,12,Della
Activity N,,01.01.10 01:42,Rework,12,Jimmy
Activity AG,,01.01.10 01:43,Rework,12,Sandra
Activity AH,,01.01.10 01:45,Rework,12,Jamika
Activity O,,01.01.10 01:46,Rework,12,Howard
Activity B,,01.01.10 01:48,Rework,12,Deloras
Activity AG,,01.01.10 01:49,Rework,12,Sandra
Activity AH,,01.01.10 01:50,Rework,12,Jamika
Activity O,,01.01.10 01:52,Rework,12,Howard
Activity A,,01.01.10 01:53,normal,13,Alyce
Activity N,,01.01.10 01:55,normal,13,Roy
Activity AE,,01.01.10 01:56,normal,13,Hoyt
Activity AF,,01.01.10 01:58,normal,13,Rossie
Activity O,,01.01.10 01:59,normal,13,Jamika
Activity B,,01.01.10 02:00,normal,13,Melany
Activity A,,01.01.10 02:02,normal,14,Della
Activity N,,01.01.10 02:03,normal,14,Roseanne
Activity P,,01.01.10 02:05,normal,14,James
Activity Q,,01.01.10 02:06,normal,14,Della
Activity O,,01.01.10 02:08,normal,14,Hugo
Activity B,,01.01.10 02:09,normal,14,Melany
Activity A,,01.01.10 02:11,Late,15,Della
Activity R,,01.01.10 02:12,Late,15,Vickie
Activity X,,01.01.10 02:13,Late,15,Johnny
Activity S,,01.01.10 02:15,Late,15,Grayce
Activity N,,01.01.10 02:16,Late,15,Hoyt
Activity O,,01.01.10 02:18,Late,15,Jamika
Activity B,,01.01.10 02:19,Late,15,Gema
Activity A,,01.01.10 02:21,normal,16,Della
Activity N,,01.01.10 02:22,normal,16,Brant
Activity AG,,01.01.10 02:24,normal,16,Sandra
Activity AH,,01.01.10 02:25,normal,16,Jamika
Activity O,,01.01.10 02:26,normal,16,Howard
Activity B,,01.01.10 02:28,normal,16,Deloras
Activity A,,01.01.10 02:29,normal,17,Della
Activity N,,01.01.10 02:31,normal,17,Alyce
Activity AE,,01.01.10 02:32,normal,17,Hoyt
Activity AF,,01.01.10 02:34,normal,17,Rossie
Activity O,,01.01.10 02:35,normal,17,Hoyt
Activity B,,01.01.10 02:36,normal,17,Tiffiny
Activity A,,01.01.10 02:38,normal,18,Della
Activity N,,01.01.10 02:39,normal,18,Hoyt
Activity R,,01.01.10 02:41,normal,18,Carmella
Activity T,,01.01.10 02:42,normal,18,Iluminada
Activity S,,01.01.10 02:44,normal,18,Sandra
Activity O,,01.01.10 02:45,normal,18,Shandi
Activity B,,01.01.10 02:47,normal,18,Grayce
Activity A,,01.01.10 02:48,normal,19,Della
Activity N,,01.01.10 02:49,normal,19,Roy
Activity AE,,01.01.10 02:51,normal,19,Hoyt
Activity AF,,01.01.10 02:52,normal,19,Rossie
Activity O,,01.01.10 02:54,normal,19,Junior
Activity B,,01.01.10 02:55,normal,19,Grayce
Activity A,,01.01.10 02:57,normal,20,Della
Activity N,,01.01.10 02:58,normal,20,Doretta
Activity R,,01.01.10 03:00,normal,20,Carmella
Activity T,,01.01.10 03:01,normal,20,Iluminada
Activity S,,01.01.10 03:02,normal,20,Sandra
Activity O,,01.01.10 03:04,normal,20,Keven
Activity B,,01.01.10 03:05,normal,20,Deloras
Activity A,,01.01.10 03:07,normal,21,Alyce
Activity N,,01.01.10 03:08,normal,21,Brant
Activity R,,01.01.10 03:10,normal,21,Hassie
Activity T,,01.01.10 03:11,normal,21,Iluminada
Activity S,,01.01.10 03:12,normal,21,Elisha
Activity O,,01.01.10 03:14,normal,21,Frances
Activity B,,01.01.10 03:15,normal,21,Melany
Activity A,,01.01.10 03:17,normal,22,Della
Activity N,,01.01.10 03:18,normal,22,Roy
Activity AE,,01.01.10 03:20,normal,22,Hoyt
Activity AF,,01.01.10 03:21,normal,22,Rossie
Activity O,,01.01.10 03:23,normal,22,Junior
Activity B,,01.01.10 03:24,normal,22,Deloras
Activity A,,01.01.10 03:25,normal,23,Alyce
Activity N,,01.01.10 03:27,normal,23,Brant
Activity R,,01.01.10 03:28,normal,23,Issac
Activity X,,01.01.10 03:30,normal,23,Michaele
Activity S,,01.01.10 03:31,normal,23,Craig
Activity O,,01.01.10 03:33,normal,23,Frances
Activity B,,01.01.10 03:34,normal,23,Melany
Activity A,,01.01.10 03:36,normal,24,Alyce
Activity N,,01.01.10 03:37,normal,24,Roseanne
Activity P,,01.01.10 03:38,normal,24,James
Activity Q,,01.01.10 03:40,normal,24,Della
Activity O,,01.01.10 03:41,normal,24,Charles
Activity B,,01.01.10 03:43,normal,24,Brian
Random activity 22,,01.01.10 03:44,Insert,25,Random user 8
Activity A,,01.01.10 03:46,Insert,25,Della
Activity N,,01.01.10 03:47,Insert,25,Brant
Activity AG,,01.01.10 03:48,Insert,25,Sandra
Random activity 1,,01.01.10 03:50,Insert,25,Random user 47
Activity AH,,01.01.10 03:51,Insert,25,Jamika
Activity O,,01.01.10 03:53,Insert,25,Howard
Activity B,,01.01.10 03:54,Insert,25,Grayce
Activity A,,01.01.10 03:56,Attribute,26,Della
Activity N,,01.01.10 03:57,Attribute,26,Deloras
Activity AE,,01.01.10 03:59,Attribute,26,Hugo
Activity AF,,01.01.10 04:00,Attribute,26,Iluminada
Activity O,,01.01.10 04:01,Attribute,26,Hoyt
Activity B,,01.01.10 04:03,Attribute,26,Grayce
Activity A,,01.01.10 04:04,Insert,27,Della
Activity N,,01.01.10 04:06,Insert,27,Jimmy
Activity AG,,01.01.10 04:07,Insert,27,Sandra
Random activity 7,,01.01.10 04:09,Insert,27,Random user 16
Activity AH,,01.01.10 04:10,Insert,27,Jamika
Random activity 28,,01.01.10 04:12,Insert,27,Random user 68
Activity O,,01.01.10 04:13,Insert,27,Howard
Activity B,,01.01.10 04:14,Insert,27,Deloras
Activity A,,01.01.10 04:16,normal,28,Alyce
Activity N,,01.01.10 04:17,normal,28,Roy
Activity AE,,01.01.10 04:19,normal,28,Hoyt
